, Instance, ogm-ICM, ogm-LBP-LF1, ogm-LBP-LF2, ogm-LF-1, ogm-LF-2, ogm-LF-3, ogm-TRWS-LF1, ogm-TRWS-LF2, BPS-TAB, ogm-BPS, ogm-LBP-0.5, ogm-LBP-0.95, ogm-TRBP-0.5, ogm-TRBP-0.95, ogm-TRBPS, ADDD, MPLP, MPLP-C, ogm-ADSAL, ogm-BUNDLE-A, ogm-BUNDLE-H, ogm-SG-A, ogm-BUNDLE-A+, ogm-SG-A+, ogm-BUNDLE-A-, ogm-SG-A-, TRWS-TAB, BRAOBB-1, BRAOBB-2, BRAOBB-3, ogm-CombiLP
1CKK, value, -11804.03, -12712.41, -12712.41, -11804.03, -12360.49, -12360.49, -12668.02, -12712.41, -12703.47, -10680.22, -12712.41, -12605.41, -12618.21, -11196.59, -10931.23, -9853.30, -11870.42, -12325.59, -12669.84, -11829.88, -11654.62, -11231.26, -11774.67, -11866.27, -11039.46, -10920.07, -12641.64, NaN, NaN, NaN, -12712.41
, bound, -Inf, -Inf, -Inf, -Inf, -Inf, -Inf, -12903.50, -12903.50, -Inf, -Inf, -Inf, -Inf, -Inf, -Inf, -Inf, -21410.68, -12890.23, -12739.36, -12856.13, -13658.53, -13458.79, -14552.55, -13430.16, -13657.15, -15042.15, -16972.64, -12903.50, NaN, NaN, NaN, -12712.41
, memory, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.50 GB, 0.35 GB, 7.03 GB, 0.32 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, 0.14 GB, NaN GB, NaN GB, NaN GB, 14.23 GB
pdb1b25, value, 4643.63, 3956.06, 3931.58, 4643.63, 3991.68, 3927.29, 3951.31, 3936.47, 3945.86, 4143.45, 4079.86, 4047.65, 3975.23, 4038.24, 4101.65, 4063.55, 3976.88, 3922.80, 3932.02, 3999.74, 3998.70, 4015.53, 3978.85, 4136.48, 4051.78, 4370.47, 3951.31, 4263.78, 4067.37, 4075.98, 3922.30
, bound, -Inf, -Inf, -Inf, -Inf, -Inf, -Inf, 3907.40, 3907.40, -Inf, -Inf, -Inf, -Inf, -Inf, -Inf, -Inf, 3907.60, 3907.38, 3922.30, 3907.40, 3905.78, 3903.64, 3899.86, 3904.12, 3740.40, 3876.42, 3701.55, 3907.40, -Inf, -Inf, -Inf, 3922.30
, memory, 0.09 GB, 0.09 GB, 0.09 GB, 0.09 GB, 0.09 GB, 0.09 GB, 0.10 GB, 0.10 GB, 0.10 GB, 0.09 GB, 0.09 GB, 0.09 GB, 0.09 GB, 0.09 GB, 0.09 GB, 0.30 GB, 0.21 GB, 1.04 GB, 0.20 GB, 0.12 GB, 0.12 GB, 0.09 GB, 0.12 GB, 0.09 GB, 0.10 GB, 0.09 GB, 0.10 GB, 0.95 GB, 1.36 GB, 1.74 GB, 0.78 GB
, runtime, 0.17, 111.70, 116.54, 0.10, 8.08, 1614.64, 15.24, 18.36, 21.52, 106.74, 108.07, 111.27, 141.48, 140.53, 134.44, 26.53, 68.35, 137.70, 436.63, 180.97, 180.33, 172.33, 188.42, 174.41, 182.58, 171.10, 14.31, 3600.00, 3600.00, 3600.00, 102.33
pdb1d2e, value, 1961.67, 1738.42, 1738.42, 1961.67, 1755.16, 1753.67, 1769.76, 1754.17, 1750.47, 1811.19, 1738.42, 1816.15, 1773.42, 1816.15, 1811.19, 1836.43, 1775.27, 1738.42, 1739.47, 1771.26, 1761.44, 1773.48, 1761.10, 1788.75, 1785.16, 1790.37, 1786.77, 1836.34, 1758.99, 1760.07, 1738.42
, bound, -Inf, -Inf, -Inf, -Inf, -Inf, -Inf, 1734.15, 1734.15, -Inf, -Inf, -Inf, -Inf, -Inf, -Inf, -Inf, 1734.51, 1733.73, 1738.42, 1734.53, 1731.93, 1732.64, 1729.13, 1733.98, 1695.43, 1718.75, 1692.29, 1734.15, -Inf, -Inf, -Inf, 1738.42
, memory, 0.05 GB, 0.05 GB, 0.05 GB, 0.05 GB, 0.05 GB, 0.05 GB, 0.05 GB, 0.05 GB, 0.05 GB, 0.05 GB, 0.05 GB, 0.05 GB, 0.05 GB, 0.05 GB, 0.05 GB, 0.16 GB, 0.10 GB, 0.54 GB, 0.11 GB, 0.07 GB, 0.09 GB, 0.05 GB, 0.06 GB, 0.05 GB, 0.06 GB, 0.05 GB, 0.05 GB, 0.45 GB, 0.46 GB, 0.66 GB, 0.32 GB
, runtime, 0.09, 56.85, 58.82, 0.05, 3.05, 362.38, 6.66, 7.73, 9.85, 53.12, 55.84, 55.76, 71.79, 72.30, 67.74, 7.99, 26.55, 52.57, 227.59, 101.09, 103.51, 93.39, 98.25, 92.93, 99.84, 94.95, 6.14, 3600.00, 3600.00, 3600.00, 12.86
pdb1fmj, value, 1127.99, 983.80, 982.06, 1113.23, 982.82, 979.62, 985.43, 978.57, 988.47, 1042.87, 1019.05, 1031.26, 1059.64, 1004.74, 1089.65, 1030.70, 1001.31, 978.05, 982.00, 985.49, 991.65, 987.29, 984.72, 998.28, 1003.80, 1048.93, 985.43, 1101.88, 981.83, 981.83, 978.05
, bound, -Inf, -Inf, -Inf, -Inf, -Inf, -Inf, 965.65, 965.65, -Inf, -Inf, -Inf, -Inf, -Inf, -Inf, -Inf, 965.33, 966.21, 978.05, 966.54, 964.92, 965.18, 964.40, 965.60, 944.91, 958.45, 930.91, 965.65, -Inf, -Inf, -Inf, 978.05
, memory, 0.03 GB, 0.03 GB, 0.03 GB, 0.03 GB, 0.03 GB, 0.03 GB, 0.03 GB, 0.03 GB, 0.03 GB, 0.03 GB, 0.03 GB, 0.03 GB, 0.03 GB, 0.03 GB, 0.03 GB, 0.08 GB, 0.06 GB, 0.27 GB, 0.06 GB, 0.03 GB, 0.03 GB, 0.03 GB, 0.04 GB, 0.03 GB, 0.04 GB, 0.03 GB, 0.03 GB, 0.47 GB, 0.48 GB, 0.58 GB, 0.22 GB
, runtime, 0.05, 28.93, 29.63, 0.03, 1.79, 247.22, 2.11, 2.88, 4.93, 28.15, 28.99, 28.58, 36.30, 36.65, 34.10, 5.41, 13.53, 29.90, 105.46, 38.44, 42.17, 37.18, 40.58, 37.75, 40.21, 35.89, 1.93, 3600.00, 3600.00, 3600.00, 12.91
pdb1i24, value, 550.66, 439.39, 439.39, 550.66, 442.14, 439.39, 439.39, 439.39, 439.39, 439.39, 439.39, 439.39, 439.39, 439.39, 439.39, 454.64, 439.39, 439.39, 439.39, 439.39, 439.39, 439.39, 439.39, 439.39, 450.49, 459.85, 439.39, 453.37, 439.39, 439.39, 439.39
, bound, -Inf, -Inf, -Inf, -Inf, -Inf, -Inf, 439.39, 439.39, -Inf, -Inf, -Inf, -Inf, -Inf, -Inf, -Inf, 435.58, 439.39, 439.39, 439.39, 438.90, 439.30, 438.99, 439.39, 439.39, 434.57, 428.32, 439.39, -Inf, -Inf, -Inf, 439.39
, memory, 0.01 GB, 0.01 GB, 0.01 GB, 0.01 GB, 0.01 GB, 0.01 GB, 0.02 GB, 0.02 GB, 0.02 GB, 0.01 GB, 0.01 GB, 0.01 GB, 0.01 GB, 0.01 GB, 0.01 GB, 0.04 GB, 0.03 GB, 0.03 GB, 0.03 GB, 0.02 GB, 0.02 GB, 0.01 GB, 0.02 GB, 0.01 GB, 0.02 GB, 0.01 GB, 0.02 GB, 0.79 GB, 0.78 GB, 2.68 GB, 0.02 GB
, runtime, 0.02, 4.65, 5.04, 0.01, 1.00, 127.84, 0.13, 0.10, 2.07, 1.43, 4.73, 1.62, 7.10, 2.81, 1.73, 7.58, 1.10, 1.09, 1.88, 16.96, 18.40, 16.37, 3.08, 1.40, 16.96, 15.45, 0.11, 3600.00, 3600.00, 3600.00, 0.84
pdb1iqc, value, 1435.06, 1223.81, 1216.34, 1435.06, 1223.05, 1216.34, 1221.52, 1218.44, 1220.68, 1298.96, 1230.13, 1237.75, 1240.87, 1230.53, 1252.17, 1292.34, 1238.50, 1216.34, 1218.58, 1216.74, 1216.34, 1218.98, 1216.74, 1247.67, 1231.93, 1253.31, 1221.52, 1354.62, 1223.26, 1221.40, 1216.34
, bound, -Inf, -Inf, -Inf, -Inf, -Inf, -Inf, 1209.81, 1209.81, -Inf, -Inf, -Inf, -Inf, -Inf, -Inf, -Inf, 1209.81, 1209.80, 1216.34, 1209.81, 1209.77, 1209.33, 1209.06, 1209.74, 1183.40, 1204.94, 1186.90, 1209.81, -Inf, -Inf, -Inf, 1216.34
, memory, 0.04 GB, 0.04 GB, 0.04 GB, 0.04 GB, 0.04 GB, 0.04 GB, 0.04 GB, 0.04 GB, 0.04 GB, 0.04 GB, 0.04 GB, 0.04 GB, 0.04 GB, 0.04 GB, 0.04 GB, 0.11 GB, 0.07 GB, 0.39 GB, 0.08 GB, 0.04 GB, 0.05 GB, 0.04 GB, 0.05 GB, 0.04 GB, 0.04 GB, 0.04 GB, 0.04 GB, 0.93 GB, 0.92 GB, 0.93 GB, 0.24 GB
, runtime, 0.07, 42.75, 44.20, 0.04, 2.05, 320.70, 1.20, 2.48, 8.07, 41.33, 41.57, 42.27, 54.15, 54.09, 50.97, 4.52, 7.49, 19.10, 44.64, 56.83, 59.87, 55.03, 57.15, 54.33, 56.32, 55.27, 1.10, 3600.00, 3600.00, 3600.00, 6.37
pdb1jmx, value, 1444.94, 1160.24, 1158.69, 1444.94, 1175.21, 1154.61, 1160.24, 1158.69, 1159.88, 1260.40, 1178.70, 1259.43, 1191.38, 1196.34, 1169.96, 1206.37, 1190.08, 1154.61, 1158.69, 1162.34, 1159.23, 1166.35, 1159.46, 1184.60, 1180.19, 1236.24, 1162.34, 1278.12, 1159.18, 1164.28, 1154.61
, bound, -Inf, -Inf, -Inf, -Inf, -Inf, -Inf, 1144.30, 1144.30, -Inf, -Inf, -Inf, -Inf, -Inf, -Inf, -Inf, 1136.64, 1144.29, 1154.61, 1144.30, 1144.20, 1143.51, 1143.28, 1144.12, 1117.62, 1128.18, 1081.92, 1144.30, -Inf, -Inf, -Inf, 1154.61
, memory, 0.03 GB, 0.03 GB, 0.03 GB, 0.03 GB, 0.03 GB, 0.03 GB, 0.03 GB, 0.03 GB, 0.03 GB, 0.03 GB, 0.03 GB, 0.03 GB, 0.03 GB, 0.03 GB, 0.03 GB, 0.10 GB, 0.07 GB, 0.35 GB, 0.07 GB, 0.04 GB, 0.04 GB, 0.03 GB, 0.05 GB, 0.03 GB, 0.05 GB, 0.03 GB, 0.03 GB, 0.25 GB, 0.27 GB, 1.06 GB, 0.19 GB
, runtime, 0.05, 34.71, 36.19, 0.03, 3.29, 532.45, 1.20, 2.29, 5.96, 34.02, 35.57, 33.20, 43.72, 43.78, 41.44, 5.51, 13.62, 35.33, 29.68, 52.44, 54.87, 51.54, 55.73, 50.00, 51.91, 48.98, 1.10, 3600.00, 3600.01, 3600.00, 6.45
pdb1kgn, value, 2226.07, 1740.93, 1724.06, 2221.18, 1768.31, 1749.50, 1729.93, 1724.19, 1745.61, 1814.33, 1751.55, 1784.33, 1788.24, 1760.41, 1820.01, 1830.46, 1773.85, 1746.29, 1736.15, 1752.45, 1745.40, 1772.90, 1731.64, 1834.27, 1775.09, 1937.47, 1738.74, 1939.78, 1745.99, 1745.99, 1724.06
, bound, -Inf, -Inf, -Inf, -Inf, -Inf, -Inf, 1717.86, 1717.86, -Inf, -Inf, -Inf, -Inf, -Inf, -Inf, -Inf, 1711.90, 1717.84, 1724.06, 1717.86, 1713.24, 1714.24, 1710.26, 1716.34, 1651.45, 1700.38, 1609.32, 1717.86, -Inf, -Inf, -Inf, 1724.06
, memory, 0.03 GB, 0.03 GB, 0.03 GB, 0.03 GB, 0.03 GB, 0.03 GB, 0.04 GB, 0.04 GB, 0.04 GB, 0.03 GB, 0.03 GB, 0.03 GB, 0.03 GB, 0.03 GB, 0.03 GB, 0.11 GB, 0.07 GB, 0.40 GB, 0.07 GB, 0.05 GB, 0.05 GB, 0.03 GB, 0.04 GB, 0.03 GB, 0.04 GB, 0.03 GB, 0.04 GB, 0.52 GB, 0.54 GB, 1.13 GB, 0.29 GB
, runtime, 0.08, 41.84, 43.78, 0.04, 2.71, 349.56, 2.52, 3.57, 6.89, 39.84, 41.17, 41.33, 52.66, 52.54, 49.25, 8.70, 22.09, 50.82, 166.54, 55.98, 56.58, 52.84, 55.21, 51.05, 56.14, 52.69, 2.39, 3600.00, 3600.00, 3600.00, 11.65
pdb1kwh, value, 949.74, 707.44, 707.44, 949.74, 709.52, 707.94, 703.36, 703.36, 704.60, 867.92, 726.56, 803.81, 755.06, 736.87, 745.12, 756.41, 716.57, 703.36, 703.36, 714.93, 710.16, 732.51, 708.83, 710.09, 733.81, 743.05, 735.38, 727.00, 703.56, 704.04, 703.36
, bound, -Inf, -Inf, -Inf, -Inf, -Inf, -Inf, 696.49, 696.49, -Inf, -Inf, -Inf, -Inf, -Inf, -Inf, -Inf, 691.79, 696.47, 703.36, 696.49, 692.57, 693.60, 691.00, 693.98, 686.13, 673.89, 653.43, 696.49, -Inf, -Inf, -Inf, 703.36
, memory, 0.02 GB, 0.02 GB, 0.02 GB, 0.02 GB, 0.02 GB, 0.02 GB, 0.02 GB, 0.02 GB, 0.02 GB, 0.02 GB, 0.02 GB, 0.02 GB, 0.02 GB, 0.02 GB, 0.02 GB, 0.06 GB, 0.04 GB, 0.21 GB, 0.04 GB, 0.04 GB, 0.03 GB, 0.02 GB, 0.03 GB, 0.02 GB, 0.02 GB, 0.02 GB, 0.02 GB, 1.10 GB, 1.09 GB, 1.53 GB, 0.38 GB
, runtime, 0.04, 21.77, 22.37, 0.02, 1.82, 221.62, 1.69, 2.09, 3.04, 20.52, 21.88, 21.87, 27.22, 27.52, 26.05, 5.68, 11.40, 18.63, 38.97, 35.96, 34.54, 31.63, 34.40, 31.12, 34.18, 33.30, 1.49, 3600.00, 3600.00, 3600.00, 17.24
pdb1m3y, value, 2861.46, 2432.79, 2427.43, 2861.46, 2460.22, 2427.43, 2444.39, 2430.52, 2455.56, 2497.24, 2477.18, 2454.41, 2445.88, 2471.22, 2466.72, 2601.02, 2453.66, 2427.43, 2428.96, 2464.53, 2458.28, 2489.95, 2445.19, 2513.14, 2547.80, 2656.69, 2478.16, 2646.67, 2463.64, 2458.39, 2427.43
, bound, -Inf, -Inf, -Inf, -Inf, -Inf, -Inf, 2421.75, 2421.75, -Inf, -Inf, -Inf, -Inf, -Inf, -Inf, -Inf, 2400.69, 2421.75, 2427.43, 2421.75, 2420.18, 2419.26, 2412.30, 2421.26, 2364.35, 2388.37, 2265.19, 2421.75, -Inf, -Inf, -Inf, 2427.43
, memory, 0.03 GB, 0.03 GB, 0.03 GB, 0.03 GB, 0.03 GB, 0.03 GB, 0.04 GB, 0.04 GB, 0.04 GB, 0.03 GB, 0.03 GB, 0.03 GB, 0.03 GB, 0.03 GB, 0.03 GB, 0.11 GB, 0.07 GB, 0.38 GB, 0.08 GB, 0.06 GB, 0.06 GB, 0.03 GB, 0.04 GB, 0.03 GB, 0.04 GB, 0.03 GB, 0.04 GB, 0.83 GB, 0.80 GB, 0.93 GB, 0.23 GB
, runtime, 0.08, 41.28, 42.73, 0.05, 2.89, 308.65, 2.21, 3.45, 7.82, 39.17, 39.85, 40.77, 48.06, 51.91, 48.77, 12.09, 15.28, 33.11, 94.07, 61.62, 60.60, 54.59, 58.31, 55.20, 57.99, 54.81, 2.11, 3600.00, 3600.01, 3600.01, 8.61
pdb1qks, value, 1811.08, 1512.84, 1512.84, 1811.08, 1528.65, 1522.67, 1513.73, 1513.73, 1513.73, 1546.29, 1520.10, 1520.10, 1527.10, 1527.10, 1527.10, 1654.57, 1527.10, 1512.84, 1513.73, 1522.78, 1518.19, 1525.47, 1512.84, 1518.28, 1536.11, 1622.04, 1513.73, 1672.19, 1524.23, 1526.36, 1512.84
, bound, -Inf, -Inf, -Inf, -Inf, -Inf, -Inf, 1512.05, 1512.05, -Inf, -Inf, -Inf, -Inf, -Inf, -Inf, -Inf, 1512.05, 1512.05, 1512.84, 1512.05, 1507.47, 1510.61, 1503.81, 1512.02, 1507.77, 1483.20, 1435.86, 1512.05, -Inf, -Inf, -Inf, 1512.84
, memory, 0.03 GB, 0.03 GB, 0.03 GB, 0.03 GB, 0.03 GB, 0.03 GB, 0.03 GB, 0.03 GB, 0.03 GB, 0.03 GB, 0.03 GB, 0.03 GB, 0.03 GB, 0.03 GB, 0.03 GB, 0.10 GB, 0.06 GB, 0.33 GB, 0.07 GB, 0.05 GB, 0.04 GB, 0.03 GB, 0.05 GB, 0.03 GB, 0.03 GB, 0.03 GB, 0.03 GB, 0.67 GB, 0.62 GB, 0.57 GB, 0.18 GB
, runtime, 0.07, 35.13, 36.65, 0.04, 2.75, 335.78, 0.43, 1.49, 5.50, 34.31, 35.20, 34.31, 36.08, 13.52, 41.90, 9.18, 4.50, 17.19, 53.45, 47.01, 47.42, 42.62, 44.86, 42.25, 44.62, 42.67, 0.36, 3600.00, 3600.01, 3600.00, 4.88
