Command Line Args:
Namespace(root_dir='/home/ahabbas/data/learnDBCA/shape_matching/train_split/instances/')
file: 000000880800_241600_kid10_200_kid5_200_.lp, Per iteration time: 0.097, LP obj:         nan, ILP obj: nan, Percent rel. gap: nan, BDD LB: nan, Percent BDD LB gap: nan, Percent BDD Gap Loss: nan, Num cons: 241600, Num BDD layers: 3884800
file: 000000880800_241600_michael0_200_michael2_200_.lp, Per iteration time: 0.099, LP obj:         nan, ILP obj: nan, Percent rel. gap: nan, BDD LB: nan, Percent BDD LB gap: nan, Percent BDD Gap Loss: nan, Num cons: 241600, Num BDD layers: 3884800
file: 000000880800_241600_victoria0_200_victoria2_200_.lp, Per iteration time: 0.101, LP obj:         nan, ILP obj: nan, Percent rel. gap: nan, BDD LB: nan, Percent BDD LB gap: nan, Percent BDD Gap Loss: nan, Num cons: 241600, Num BDD layers: 3884800
file: 000000880800_241600_wolf0_200_wolf1_200_.lp, Per iteration time: 0.100, LP obj:         nan, ILP obj: nan, Percent rel. gap: nan, BDD LB: nan, Percent BDD LB gap: nan, Percent BDD Gap Loss: nan, Num cons: 241600, Num BDD layers: 3884800
file: 000001541100_422200_michael13_partial2_9992_michael15_partial5_17452_partial.lp, Per iteration time: 0.163, LP obj:         nan, ILP obj: nan, Percent rel. gap: nan, BDD LB: nan, Percent BDD LB gap: nan, Percent BDD Gap Loss: nan, Num cons: 422200, Num BDD layers: 6796600
file: 000001987816_544232_david11_A0.90_H5_15318_david6_partial3_11312_partial.lp, Per iteration time: 0.168, LP obj:         nan, ILP obj: nan, Percent rel. gap: nan, BDD LB: nan, Percent BDD LB gap: nan, Percent BDD Gap Loss: nan, Num cons: 544232, Num BDD layers: 8766396
file: 000002234280_611560_wolf0_A0.90_H5_7104_wolf2_partial2_5922_partial.lp, Per iteration time: 0.169, LP obj:         nan, ILP obj: nan, Percent rel. gap: nan, BDD LB: nan, Percent BDD LB gap: nan, Percent BDD Gap Loss: nan, Num cons: 611560, Num BDD layers: 9853180
file: 000002280492_624184_dog1c_14738_dog5c_17360_partial.lp, Per iteration time: 0.168, LP obj:         nan, ILP obj: nan, Percent rel. gap: nan, BDD LB: nan, Percent BDD LB gap: nan, Percent BDD Gap Loss: nan, Num cons: 624184, Num BDD layers: 10056952
file: 000002695700_736750_Teddy1_350_Teddy3_350_noniso.lp, Per iteration time: 0.179, LP obj:         nan, ILP obj: nan, Percent rel. gap: nan, BDD LB: nan, Percent BDD LB gap: nan, Percent BDD Gap Loss: nan, Num cons: 736750, Num BDD layers: 11887050
file: 000002696400_737800_Plane1_350_Plane12_350_noniso.lp, Per iteration time: 0.172, LP obj:         nan, ILP obj: nan, Percent rel. gap: nan, BDD LB: nan, Percent BDD LB gap: nan, Percent BDD Gap Loss: nan, Num cons: 737800, Num BDD layers: 11890900
file: 000002696400_737800_Plane1_350_Plane3_350_noniso.lp, Per iteration time: 0.170, LP obj:         nan, ILP obj: nan, Percent rel. gap: nan, BDD LB: nan, Percent BDD LB gap: nan, Percent BDD Gap Loss: nan, Num cons: 737800, Num BDD layers: 11890900
file: 000002696400_737800_Plane1_350_Plane7_350_noniso.lp, Per iteration time: 0.171, LP obj:         nan, ILP obj: nan, Percent rel. gap: nan, BDD LB: nan, Percent BDD LB gap: nan, Percent BDD Gap Loss: nan, Num cons: 737800, Num BDD layers: 11890900
file: 000002696400_737800_Plier1_350_Plier12_350_noniso.lp, Per iteration time: 0.173, LP obj:         nan, ILP obj: nan, Percent rel. gap: nan, BDD LB: nan, Percent BDD LB gap: nan, Percent BDD Gap Loss: nan, Num cons: 737800, Num BDD layers: 11890900
