file: easy/instances/n2seq36f/instances/0.lp                      , LP obj:   52000.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:   51977.129, Percent BDD LB gap: 0.044, Num cons: 6970, Num BDD layers: 51379
file: easy/instances/f2gap401600/instances/0.lp                   , LP obj:   82274.237, ILP obj: nan, Percent rel. gap: nan, BDD LB:   82307.001, Percent BDD LB gap: -0.040, Num cons: 40, Num BDD layers: 3240
file: easy/instances/air03/instances/0.lp                         , LP obj:  198058.250, ILP obj: nan, Percent rel. gap: nan, BDD LB:  111871.087, Percent BDD LB gap: 43.516, Num cons: 95, Num BDD layers: 54584
file: easy/instances/tanglegram6/instances/0.lp                   , LP obj:       0.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:       0.000, Percent BDD LB gap: 0.000, Num cons: 132, Num BDD layers: 528
file: easy/instances/tanglegram6/instances/1.lp                   , LP obj:       0.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:       0.000, Percent BDD LB gap: 0.000, Num cons: 786, Num BDD layers: 3144
file: easy/instances/tanglegram6/instances/2.lp                   , LP obj:       0.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:       0.000, Percent BDD LB gap: 0.000, Num cons: 1603, Num BDD layers: 6412
file: easy/instances/tanglegram6/instances/3.lp                   , LP obj:       0.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:       0.000, Percent BDD LB gap: 0.000, Num cons: 599, Num BDD layers: 2396
file: easy/instances/peg-solitaire-a3/instances/0.lp              , LP obj:       0.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:       0.000, Percent BDD LB gap: 0.000, Num cons: 2498, Num BDD layers: 18092
file: easy/instances/bley_xl1/instances/0.lp                      , LP obj:      60.864, ILP obj: nan, Percent rel. gap: nan, BDD LB:      77.729, Percent BDD LB gap: -27.708, Num cons: 2432, Num BDD layers: 10912
file: easy/instances/bley_xl1/instances/1.lp                      , LP obj:      96.323, ILP obj: nan, Percent rel. gap: nan, BDD LB:      96.653, Percent BDD LB gap: -0.342, Num cons: 2470, Num BDD layers: 11391
file: easy/instances/neos-2328163-agri/instances/0.lp             , LP obj:   26069.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:   13067.085, Percent BDD LB gap: 49.875, Num cons: 1924, Num BDD layers: 14040
file: easy/instances/cod105/instances/0.lp                        , LP obj:     -18.286, ILP obj: nan, Percent rel. gap: nan, BDD LB:     -18.286, Percent BDD LB gap: 0.000, Num cons: 1024, Num BDD layers: 58368
file: easy/instances/neos-960392/instances/0.lp                   , LP obj:    -238.000, ILP obj: nan, Percent rel. gap: nan, BDD LB:    -279.870, Percent BDD LB gap: 17.592, Num cons: 1207, Num BDD layers: 9970
