file: easy/instances/chromaticindex32-8/instances/0.lp            , Per iteration time: 0.000, Num cons: 2111, Num BDD layers: 10547.
file: easy/instances/neos-780889/instances/0.lp                   , Per iteration time: 0.009, Num cons: 418, Num BDD layers: 14224.
file: easy/instances/supportcase29/instances/0.lp                 , Per iteration time: 0.006, Num cons: 241, Num BDD layers: 961.
file: easy/instances/supportcase29/instances/1.lp                 , Per iteration time: 0.006, Num cons: 241, Num BDD layers: 961.
file: easy/instances/supportcase29/instances/2.lp                 , Per iteration time: 0.006, Num cons: 241, Num BDD layers: 961.
file: easy/instances/neos-956971_renameddup/instances/0.lp        , Per iteration time: 0.022, Num cons: 270, Num BDD layers: 8067.
file: easy/instances/supportcase4/instances/0.lp                  , Per iteration time: 0.000, Num cons: 2349, Num BDD layers: 14661.
file: easy/instances/academictimetablesmall/instances/0.lp        , Per iteration time: 0.001, Num cons: 1194, Num BDD layers: 9091.
file: easy/instances/academictimetablesmall/instances/1.lp        , Per iteration time: 0.014, Num cons: 1182, Num BDD layers: 21906.
file: easy/instances/academictimetablesmall/instances/2.lp        , Per iteration time: 0.014, Num cons: 1138, Num BDD layers: 20331.
file: easy/instances/neos-5129192-manaia/instances/0.lp           , Per iteration time: 0.000, Num cons: 12, Num BDD layers: 90.
file: easy/instances/cvs16r89-60/instances/0.lp                   , Per iteration time: 0.003, Num cons: 2316, Num BDD layers: 8592.
file: easy/instances/iis-hc-cov/instances/0.lp                    , Per iteration time: 0.001, Num cons: 2458, Num BDD layers: 38423.
file: easy/instances/iis-hc-cov/instances/1.lp                    , Per iteration time: 0.001, Num cons: 2455, Num BDD layers: 38372.
file: easy/instances/neos-831188/instances/0.lp                   , Per iteration time: 0.002, Num cons: 2153, Num BDD layers: 13357.
file: easy/instances/vpphard2/instances/0.lp                      , Per iteration time: 0.003, Num cons: 2428, Num BDD layers: 16815.
file: easy/instances/vpphard2/instances/1.lp                      , Per iteration time: 0.003, Num cons: 2360, Num BDD layers: 15970.
file: easy/instances/vpphard2/instances/2.lp                      , Per iteration time: 0.002, Num cons: 498, Num BDD layers: 3240.
file: easy/instances/chromaticindex256-8/instances/0.lp           , Per iteration time: 0.000, Num cons: 7, Num BDD layers: 31.
file: easy/instances/chromaticindex256-8/instances/1.lp           , Per iteration time: 0.000, Num cons: 11, Num BDD layers: 47.
file: easy/instances/neos-3988577-wolgan/instances/0.lp           , Per iteration time: 0.001, Num cons: 29, Num BDD layers: 213.
file: easy/instances/neos-3988577-wolgan/instances/1.lp           , Per iteration time: 0.000, Num cons: 17, Num BDD layers: 147.
file: easy/instances/neos-3988577-wolgan/instances/2.lp           , Per iteration time: 0.001, Num cons: 27, Num BDD layers: 247.
file: easy/instances/neos-3988577-wolgan/instances/3.lp           , Per iteration time: 0.001, Num cons: 22, Num BDD layers: 182.
file: easy/instances/neos-3988577-wolgan/instances/4.lp           , Per iteration time: 0.001, Num cons: 26, Num BDD layers: 229.
file: easy/instances/neos-3988577-wolgan/instances/5.lp           , Per iteration time: 0.001, Num cons: 22, Num BDD layers: 198.
file: easy/instances/neos-3988577-wolgan/instances/6.lp           , Per iteration time: 0.001, Num cons: 22, Num BDD layers: 198.
file: easy/instances/iis-glass-cov/instances/0.lp                 , Per iteration time: 0.000, Num cons: 2500, Num BDD layers: 28842.
file: easy/instances/iis-glass-cov/instances/1.lp                 , Per iteration time: 0.000, Num cons: 2500, Num BDD layers: 28599.
file: easy/instances/neos-957143/instances/0.lp                   , Per iteration time: 0.007, Num cons: 330, Num BDD layers: 16840.
file: easy/instances/supportcase14/instances/0.lp                 , Per iteration time: 0.001, Num cons: 55, Num BDD layers: 532.
file: easy/instances/mitre/instances/0.lp                         , Per iteration time: 0.004, Num cons: 1132, Num BDD layers: 16312.
file: easy/instances/neos-633273/instances/0.lp                   , Per iteration time: 0.001, Num cons: 21, Num BDD layers: 101.
file: easy/instances/air05/instances/0.lp                         , Per iteration time: 0.008, Num cons: 338, Num BDD layers: 36575.
file: easy/instances/seymour/instances/0.lp                       , Per iteration time: 0.001, Num cons: 1825, Num BDD layers: 14376.
file: easy/instances/neos-3148108-pahi/instances/0.lp             , Per iteration time: 0.001, Num cons: 1723, Num BDD layers: 13245.
file: easy/instances/neos-3148108-pahi/instances/1.lp             , Per iteration time: 0.001, Num cons: 1757, Num BDD layers: 13183.
file: easy/instances/cvs16r70-62/instances/0.lp                   , Per iteration time: 0.002, Num cons: 2273, Num BDD layers: 8125.
file: easy/instances/ab51-40-100/instances/0.lp                   , Per iteration time: 0.005, Num cons: 36, Num BDD layers: 4223.
file: easy/instances/neos-1516309/instances/0.lp                  , Per iteration time: 0.018, Num cons: 84, Num BDD layers: 5584.
file: easy/instances/tanglegram4/instances/0.lp                   , Per iteration time: 0.000, Num cons: 86, Num BDD layers: 344.
file: easy/instances/tanglegram4/instances/1.lp                   , Per iteration time: 0.000, Num cons: 10, Num BDD layers: 40.
file: easy/instances/tanglegram4/instances/10.lp                  , Per iteration time: 0.000, Num cons: 46, Num BDD layers: 184.
file: easy/instances/tanglegram4/instances/11.lp                  , Per iteration time: 0.000, Num cons: 44, Num BDD layers: 176.
file: easy/instances/tanglegram4/instances/12.lp                  , Per iteration time: 0.000, Num cons: 44, Num BDD layers: 176.
file: easy/instances/tanglegram4/instances/13.lp                  , Per iteration time: 0.000, Num cons: 48, Num BDD layers: 192.
file: easy/instances/tanglegram4/instances/14.lp                  , Per iteration time: 0.000, Num cons: 70, Num BDD layers: 280.
file: easy/instances/tanglegram4/instances/15.lp                  , Per iteration time: 0.000, Num cons: 44, Num BDD layers: 176.
file: easy/instances/tanglegram4/instances/16.lp                  , Per iteration time: 0.000, Num cons: 54, Num BDD layers: 216.
file: easy/instances/tanglegram4/instances/17.lp                  , Per iteration time: 0.000, Num cons: 48, Num BDD layers: 192.
file: easy/instances/tanglegram4/instances/18.lp                  , Per iteration time: 0.000, Num cons: 34, Num BDD layers: 136.
file: easy/instances/tanglegram4/instances/19.lp                  , Per iteration time: 0.000, Num cons: 48, Num BDD layers: 192.
file: easy/instances/tanglegram4/instances/2.lp                   , Per iteration time: 0.000, Num cons: 32, Num BDD layers: 128.
file: easy/instances/tanglegram4/instances/20.lp                  , Per iteration time: 0.000, Num cons: 751, Num BDD layers: 3004.
file: easy/instances/tanglegram4/instances/21.lp                  , Per iteration time: 0.000, Num cons: 44, Num BDD layers: 176.
file: easy/instances/tanglegram4/instances/3.lp                   , Per iteration time: 0.000, Num cons: 48, Num BDD layers: 192.
file: easy/instances/tanglegram4/instances/4.lp                   , Per iteration time: 0.000, Num cons: 76, Num BDD layers: 304.
file: easy/instances/tanglegram4/instances/5.lp                   , Per iteration time: 0.000, Num cons: 44, Num BDD layers: 176.
file: easy/instances/tanglegram4/instances/6.lp                   , Per iteration time: 0.000, Num cons: 88, Num BDD layers: 352.
file: easy/instances/tanglegram4/instances/7.lp                   , Per iteration time: 0.000, Num cons: 218, Num BDD layers: 872.
file: easy/instances/tanglegram4/instances/8.lp                   , Per iteration time: 0.000, Num cons: 44, Num BDD layers: 176.
file: easy/instances/tanglegram4/instances/9.lp                   , Per iteration time: 0.000, Num cons: 48, Num BDD layers: 192.
file: easy/instances/neos-3555904-turama/instances/0.lp           , Per iteration time: 0.000, Num cons: 10, Num BDD layers: 38.
